Bond_ID         l0         kb
    726   0.864533   1.075497
    727   1.429866   0.836281
    728   0.387485   1.606469
    729   1.802191   0.744903
    730   0.499174   1.415383
    731   0.340328   1.714159
    732   0.794950   1.121580
    733   1.801776   0.744989
    734   0.594115   1.297372
    735   1.844341   0.736342
    736   0.647112   1.243112
    737   0.522406   1.383553
    738   0.810491   1.110775
    739   1.160318   0.928349
    740   0.642011   1.248040
    741   1.298426   0.877589
    742   0.662387   1.228695
    743   0.697184   1.197640
    744   1.010501   0.994790
    745   0.501582   1.411982
    746   0.980486   1.009902
    747   0.262086   1.953341
    748   0.499874   1.414392
    749   0.302444   1.818351
    750   0.864745   1.075365
    751   0.844896   1.087923
    752   0.359746   1.667254
    753   1.312257   0.872952
    754   0.722032   1.176851
    755   1.174861   0.922586
    756   1.054522   0.973806
    757   0.934565   1.034416
    758   0.681260   1.211556
    759   0.723831   1.175388
    760   0.616130   1.273984
    761   0.893965   1.057645
    762   1.674921   0.772686
    763   0.801780   1.116792
    764   0.984746   1.007715
    765   0.877462   1.067544
    766   0.656369   1.234315
    767   0.704050   1.191786
    768   0.667710   1.223788
    769   0.592313   1.299344
    770   2.722160   0.606098
    771   0.863161   1.076352
    772   1.298722   0.877489
    773   0.627940   1.261946
    774   2.453847   0.638376
    775   0.450267   1.490270
    776   0.533601   1.368963
    777   0.915466   1.045150
    778   1.307501   0.874539
    779   0.656012   1.234651
    780   1.107684   0.950150
    781   1.197928   0.913660
    782   0.568546   1.326226
    783   0.498602   1.416195
    784   0.835154   1.094251
    785   0.514450   1.394211
    786   0.446136   1.497154
    787   1.206184   0.910528
    788   1.242798   0.897015
    789   0.927822   1.038168
    790   0.735761   1.165821
    791   1.073963   0.964951
    792   1.082011   0.961356
    793   0.671573   1.220263
    794   0.529302   1.374510
    795   0.679986   1.212691
    796   0.392493   1.596189
    797   0.473852   1.452709
    798   0.460500   1.473618
    799   0.415577   1.551223
    800   0.907554   1.049697
    801   0.791126   1.124287
    802   1.168532   0.925081
    803   0.438032   1.510939
    804   0.547233   1.351804
    805   1.922423   0.721233
    806   0.331595   1.736585
    807   0.763157   1.144704
    808   3.292263   0.551128
    809   0.660866   1.230108
    810   0.635670   1.254250
