Time Step,Label Index,Name (NA),Volume (µm³),Equivalent Spherical Diameter (µm),Aspect Ratio,Center Of Mass X (µm),Center Of Mass Y (µm),Center Of Mass Z (µm),Sphericity
0,761,,450770879.2,951.3034605,1.127237025,15831.4667,20561.5588,6436.401008,0.921592222
0,762,,446521615.7,948.3048137,1.104388353,18613.80214,21724.53203,10584.10332,0.947964422
0,763,,448975495,950.0387915,1.054616321,16125.14542,14437.67536,13259.53603,0.957444315
0,764,,445789954.4,947.7865728,1.058396052,13653.15034,19711.04864,14043.53761,0.965763402
0,765,,445367842.2,947.4873297,1.086493678,20936.77267,15200.29641,12917.00641,0.93819565
0,766,,453613101.8,953.2986746,1.033165745,19701.6688,17208.81116,6214.684601,0.928830059
0,767,,459877247.9,957.6668046,1.139280535,15701.65548,18349.63085,7594.36243,0.909350427
0,768,,450438817.6,951.0698096,1.065279177,17336.60135,13976.09669,8758.748459,0.937171348
0,769,,450455702.1,951.0816929,1.114993479,18964.25019,17309.31849,15056.77797,0.96552545
0,770,,451660129.1,951.9286049,1.115065963,19962.73592,19576.75817,14331.75924,0.946175753
0,771,,448187552.1,949.4826998,1.055423025,18782.44455,21680.9026,11838.3553,0.949412936
0,772,,447123829.2,948.7309412,1.049656699,21261.44137,15781.62168,9645.599791,0.930787496
0,773,,452847671.6,952.7621715,1.091757795,21133.49327,17447.9991,9448.399144,0.938312332
0,774,,450281229,950.9588843,1.074230436,17205.93428,14385.713,5463.8272,0.935909826
0,775,,454260340.7,953.7518645,1.120767373,20451.25418,16544.83891,4376.533788,0.905861375
0,776,,466816773.7,962.4598248,1.435598632,19175.61512,15764.0951,13385.81694,0.936656611
0,777,,448452075.8,949.6694604,1.097016553,20819.56844,15059.2727,11285.0306,0.929277244
0,778,,458121260.9,956.4463372,1.030671203,18672.66077,19046.35754,6931.254969,0.91484206
0,779,,457423368.6,955.9604137,1.021094965,16489.72701,16116.89867,7123.939049,0.920158839
0,780,,755181364,1129.841564,3.476155834,16739.25546,14841.57948,2581.010721,0.18457007
0,781,,450371279.6,951.0222733,1.07529404,16110.81709,21700.98752,13258.56878,0.964407021
0,782,,455791201.2,954.8220467,1.048802402,15096.54917,16349.57343,6270.702269,0.924558134
0,783,,454344763.1,953.8109445,1.083893892,18496.22937,15871.03372,14175.95181,0.952193929
0,784,,450101127.8,950.8320808,1.09547653,13120.49018,17227.13232,13737.56912,0.960332892
0,785,,486312732.4,975.6761133,1.445092714,15067.4468,19582.60604,7384.221847,0.905140162
0,786,,455599843.6,954.6884051,1.077701024,14367.73321,18695.3162,8011.54118,0.941927325
0,787,,455492908.5,954.6137067,1.121371532,19780.0536,17970.35073,12625.28244,0.947171329
0,788,,454744362.7,954.0904905,1.079566477,14677.487,17351.04454,14014.19059,0.947485908
0,789,,914655379.7,1204.350665,3.757902286,14864.01911,19234.17119,2394.269359,0.16387223
0,790,,471324932.7,965.5481379,1.401357915,17049.76603,20624.38485,12763.43364,0.925500681
0,791,,450495099.2,951.1094195,1.04205331,18912.26461,18642.1533,15075.22328,0.976877139
0,792,,449459517.1,950.3800682,1.052166547,14050.76562,14953.54408,12484.42531,0.942628346
0,793,,458700961.7,956.8495922,1.048216389,16990.66098,19562.1187,7899.310313,0.93486436
0,794,,451451887,951.782284,1.065559674,21464.68504,18904.012,8807.816788,0.940242948
0,795,,450050474.3,950.7964112,1.05450093,21118.34711,19788.25571,10342.63828,0.929445507
0,796,,454710593.8,954.0668733,1.060142866,15664.47781,20557.36456,13375.22326,0.954827628
0,797,,453055913.7,952.9081917,1.093673124,13206.5375,16738.66142,11376.24364,0.948339603
0,798,,453725665.1,953.3775212,1.023825879,16217.0552,20991.67057,12638.4745,0.955144203
0,799,,456596028.6,955.3837184,1.093955313,14931.1276,20052.26059,12989.18098,0.946077184
0,800,,455858739.1,954.8692054,1.055965145,14505.57317,19155.01081,13450.86243,0.949779734
0,801,,450962236.8,951.4380546,1.04194559,15381.6978,13925.87695,8699.214543,0.938988841
0,802,,452408674.8,952.4541984,1.049893011,21677.67008,17992.61164,8815.804337,0.941066098
0,803,,461171725.6,958.5645201,1.017724945,16502.50272,17639.70408,4471.270052,0.899064115
0,804,,450950980.5,951.4301383,1.034706916,21641.30718,17019.44359,10441.81068,0.947346659
0,805,,459927901.4,957.7019642,1.106839726,14336.02929,16715.41239,4629.129818,0.925231489
0,806,,452780133.6,952.714804,1.052953498,21518.70885,16434.72305,12174.73433,0.947492585
0,807,,461256148,958.6230084,1.006583896,19207.6684,15772.45517,8174.541009,0.926553066
0,808,,456128891,955.0577936,1.095274617,21422.52109,16164.13693,8808.716797,0.930655179
0,809,,459286290.8,957.2564178,1.109251281,16634.09208,14619.50324,8751.864837,0.935447844
0,810,,461402480.3,958.7243712,1.035157592,19589.91237,14844.80729,14902.5629,0.935343447
0,811,,463304799.6,960.0401416,1.074157018,18103.39661,14307.68767,7612.633869,0.926531957
0,812,,459308803.4,957.272058,1.153320431,18463.65575,14647.04393,3639.724688,0.902916113
0,813,,456173916.3,955.0892177,1.035242605,19532.26301,20395.39641,14072.29833,0.957947517
0,814,,455960046.1,954.9399347,1.070831498,21578.83437,16705.99397,11297.0194,0.951032644
0,815,,461588209.7,958.8529931,1.090294892,16736.65215,20124.60385,4591.245161,0.920741311
0,816,,458042466.6,956.3914996,1.109726688,18373.46415,13499.94856,9879.519279,0.938811414
0,817,,461858361.5,959.040018,1.056064988,16233.59775,14034.23085,7120.527091,0.932016313
0,818,,459016138.9,957.0686951,1.018591535,16319.03049,18290.51969,13803.30946,0.951657384
0,819,,467261398.6,962.7652964,1.175421631,15256.08541,16607.23146,4428.596784,0.884194735
0,820,,475112686.8,968.1277492,1.306185107,16594.96868,17144.94962,9354.187376,0.915663141
0,821,,461453133.7,958.7594533,1.039272668,14794.07247,15697.70356,5654.463272,0.938068784
0,822,,460704588,958.2407559,1.066110088,15583.29471,17370.13906,5872.333262,0.914740267
0,823,,455436626.9,954.5743871,1.0691442,20417.60998,15067.52549,15303.39272,0.976242095
0,824,,457136332.3,955.7604146,1.083942602,14768.81397,20959.64946,13759.01386,0.955564833
0,825,,458571514,956.7595745,1.07477673,16301.25597,13514.52087,13198.41312,0.953226924
0,826,,462544997.5,959.5150448,1.097188725,15522.98391,17401.33416,12472.59611,0.945014448
0,827,,460473833.3,958.0807434,1.016421238,17048.6386,14513.73078,13505.5563,0.951416595
0,828,,460079861.8,957.8074277,1.044505432,15326.17398,20204.48955,5723.648205,0.921983015
0,829,,481917136.6,972.7276235,1.05965493,15244.62988,18234.86384,2624.467678,0.772826272
0,830,,486656050.4,975.9056558,1.4799165,19301.97485,16428.05632,7471.323842,0.898354095
0,831,,485142074.3,974.8925977,1.547421656,15908.46143,20538.26594,8859.797998,0.906604743
0,832,,459623980.6,957.4909676,1.027563384,20124.77844,17207.00094,13101.06767,0.949430713
0,833,,457141960.4,955.7643369,1.085502463,14576.44248,14429.47457,10759.94959,0.932412096
0,834,,456866180.4,955.5721036,1.04642009,20670.23766,14867.265,13775.21482,0.939866859
0,835,,461852733.4,959.0361224,1.052272825,13819.32493,17785.17413,8377.215577,0.930418417
0,836,,459139958.5,957.1547438,1.116035992,16984.01947,21884.90015,11379.98157,0.953719935
0,837,,459061164.2,957.0999873,1.05966573,15420.56974,21381.4036,9567.059353,0.931133245
0,838,,473373584.3,966.94506,1.277599508,20809.94464,17088.98466,7567.491577,0.923702616
0,839,,459139958.5,957.1547438,1.07605458,16731.8681,21850.36659,10444.23567,0.945587801
0,840,,455836226.5,954.8534864,1.075931126,13452.64002,19244.4691,11019.64401,0.939395274
0,841,,466276470,962.0883576,1.049263383,17175.67269,20266.86928,8628.943648,0.932946449
0,842,,458751615.2,956.884812,1.068924577,18969.83914,13688.7321,9177.54525,0.935488762
0,843,,459303175.3,957.268148,1.029253146,20272.04234,20282.55246,8639.069407,0.938548353
0,844,,461470018.2,958.7711468,1.132683098,21325.85575,19368.68663,7972.721572,0.934442826
0,845,,952544177,1220.755908,2.951377162,15369.18428,20066.18464,2350.44758,0.173752483
0,846,,463715655.5,960.3238437,1.100009952,14084.05866,16348.70843,11662.17862,0.945225787
0,847,,460575140.2,958.1509993,1.046198879,15119.81193,21020.00241,10439.19409,0.942361643
0,848,,461925899.5,959.0867628,1.062964238,20815.43835,17818.64983,6922.041942,0.926474706
0,849,,462032834.6,959.1607661,1.056911905,16802.15355,21847.86551,8568.375871,0.945309119
0,850,,470261209.8,964.8212159,1.09030352,16352.7864,17615.04279,6377.867368,0.909112672
0,851,,462145397.9,959.238652,1.061767329,20669.73944,14907.4989,9620.091002,0.940523442
0,852,,464087114.3,960.5801973,1.136966674,21607.99894,18574.45789,11230.23578,0.951991084
0,853,,462499972.2,959.4839099,1.02996862,19643.51349,20284.26933,13114.72614,0.955989606
0,854,,459207496.5,957.2016729,1.02330481,17882.72495,19295.39317,14769.77318,0.979301357
0,855,,471308048.2,965.536608,1.083607988,17537.22888,18755.74894,5568.19103,0.911626573
0,856,,462809521.2,959.6979215,1.062185483,20203.15204,19321.5377,4645.288805,0.927878724
0,857,,470722719.2,965.1367346,1.063146962,16222.74625,19592.71692,3917.427715,0.900905345
0,858,,470559502.5,965.0251723,1.100814515,16182.37127,18418.60077,4934.260363,0.903486026
0,859,,467644113.7,963.0280789,1.045794267,16347.20849,14685.35207,7873.376086,0.933721911
0,860,,463068416.7,959.8768397,1.085804421,20006.87869,20556.39345,9517.309022,0.938290621
0,861,,468724721.1,963.7692798,1.017345154,16652.30179,16760.52903,10216.33436,0.938204109
0,862,,469287537.5,964.1548708,1.091942759,14481.89016,16063.90166,8044.577456,0.941648881
0,863,,466017574.4,961.9102612,1.030747819,19905.20234,17903.33617,13736.27769,0.954650976
0,864,,471876492.7,965.9246299,1.066710792,17827.0678,17821.32827,5690.240249,0.906636867
0,865,,462409921.6,959.4216341,1.052893759,18939.13246,21636.22474,8800.072819,0.933651399
0,866,,470491964.5,964.979001,1.023716346,16201.54002,15874.40417,9734.621868,0.935460364
0,867,,464818775.6,961.0847364,1.127723652,13972.00072,15137.86385,10496.56553,0.938291934
0,868,,463496157.1,960.1722977,1.037231394,19899.77364,21108.45263,10418.19737,0.953871808
0,869,,471578200.1,965.7210533,1.116694856,17510.67236,16003.38087,11820.57383,0.938902897
0,870,,463974551,960.5025289,1.072788837,21629.64006,17069.40315,8730.299192,0.932828232
0,871,,472675692,966.4696389,1.069697287,15624.50814,17333.54838,8124.915683,0.925985265
0,872,,468482710.1,963.6033807,1.070805866,20629.11785,16356.55236,10087.25519,0.935884082
0,873,,463546810.6,960.2072741,1.062467226,19531.56268,13932.78882,13084.68987,0.942932503
0,874,,464993248.7,961.2049714,1.051178337,16645.65785,18792.20237,14568.69585,0.966860643
0,875,,468161904.8,963.3833799,1.066376279,16672.74047,20877.44904,8058.807462,0.925274532
0,876,,466991246.7,962.5797165,1.073984291,14983.2738,20439.00906,11195.66735,0.952891876
0,877,,496387145.2,982.3674589,1.365600849,17966.30241,14339.77382,6710.859739,0.901539136
0,878,,471448752.3,965.6326821,1.0340683,19365.69397,20415.85157,7755.520297,0.92911689
0,879,,471915889.9,965.9515109,1.157984505,14647.62929,17640.37525,12166.88363,0.952013953
